upc_a_code,item_name
180187000557,"SNACKIOS - TOMATO BASIL PITA CHIPS, TOMATO; BASIL"
180187000564,"SNACKIOS - WHOLE WHEAT PITA CHIPS, WHOLE WHEAT"
180187000564,"SNACKIOS - WHOLE WHEAT PITA CHIPS, WHEAT"
180187000571,"SNACKIOS - JALAPENO LIME PITA CHIPS, JALAPENO LIME"
180187000571,"SNACKIOS - JALAPENO LIME PITA CHIPS, JALAPENO; LIME"
180187000588,SNACKIOS - EVERYTHING PITA CHIPS
180187000588,"SNACKIOS - EVERYTHING PITA CHIPS, EVERYTHING"
180187000717,"SNACKIOS - CINNAMON N' SUGAR BAGEL CHIPS, CINNAMON"
180187000731,SNACKIOS - ORIGINAL BAGEL CHIPS
180187000748,"SNACKIOS - GARLIC N' HERBS BAGEL CHIPS, GARLIC; HERBS"
180187000755,"SNACKIOS - TOMATO BASIL BAGEL CHIPS, TOMATO; BASIL"
180187000762,SNACKIOS - WHOLE WHEAT BAGEL CHIPS
180187000779,"SNACKIOS - JALAPENO LIME BAGEL CHIPS, JALAPENO; LIME"
180187000786,SNACKIOS - EVERYTHING BAGEL CHIPS
180268000803,SOOZIE'S DOOZIES - CHOCOLATE CHIP COOKIE DOUGH
180268000803,"SOOZIE'S DOOZIES - CHOCOLATE CHIP COOKIE DOUGH , CHOCOLATE CHIP COOKIE"
180268000810,SOOZIE'S DOOZIES - OATMEAL RAISIN COOKIE DOUGH GOURMET COOKIES
180268000810,"SOOZIE'S DOOZIES - OATMEAL RAISIN COOKIE DOUGH GOURMET COOKIES, OATMEAL RAISIN COOKIE DOUGH"
180268000827,SOOZIE'S DOOZIES - SUGAR CINNAMON SNICKERDOODLE COOKIE DOUGH
180268000827,"SOOZIE'S DOOZIES - SUGAR CINNAMON SNICKERDOODLE COOKIE DOUGH, SUGAR CINNAMON SNICKERDOODLE"
180268000834,SOOZIE'S DOOZIES - CHOCOLATE CHIP CANDIE MELTS COOKIE DOUGH GOURMET COOKIES
180268000834,"SOOZIE'S DOOZIES - CHOCOLATE CHIP CANDIE MELTS COOKIE DOUGH GOURMET COOKIES, CHOCOLATE CHIP CANDIE MELTS COOKIE DOUGH"
180268000841,SOOZIE'S DOOZIES - WHITE CHOCOLATE MACADAMIA COOKIE DOUGH GOURMET COOKIES
180268000841,"SOOZIE'S DOOZIES - WHITE CHOCOLATE MACADAMIA COOKIE DOUGH GOURMET COOKIES, WHITE CHOCOLATE MACADAMIA COOKIE DOUGH"
180268000858,SOOZIE'S DOOZIES - GOURMET COOKIES
180268000858,"SOOZIE'S DOOZIES - GOURMET COOKIES, MILKIEST CHOCOLATE CHIP COOKIE DOUGH"
180268000902,THE DOOZIE BAR - GOURMET COOKIE DOUGH BAR
180268000902,"SKU Foods, LLC - GOURMET COOKIE DOUGH BAR, CHOCOLATE CHIP"
180268000902,"THE DOOZIE BAR - GOURMET COOKIE DOUGH BAR, CHOCOLATE CHIP"
180268000919,THE DOOZIE BAR - GOURMET COOKIE DOUGH BAR
180268000919,"THE DOOZIE BAR - GOURMET COOKIE DOUGH BAR, PEANUT BUTTER MILK CHOCOLATE"
180268000926,"THE DOOZIE BAR - GOURMET COOKIE DOUGH BAR, BIRTHDAY CAKE"
180268000933,THE DOOZIE BAR - GOURMET COOKIE DOUGH BAR
180268000933,"THE DOOZIE BAR - GOURMET COOKIE DOUGH BAR, CANDIE COATED CHOCOLATE"
180286000120,FAVORIT - SWISS PRESERVES STRAWBERRY
180286000120,"FAVORIT - SWISS PRESERVES STRAWBERRY, STRAWBERRY"
180286000137,FAVORIT - SWISS PRESERVES
180286000137,"FAVORIT - SWISS PRESERVES, RASPBERRY"
180286000144,FAVORIT - SWISS PRESERVES
180286000144,"FAVORIT - SWISS PRESERVES, APRICOT"
180286000144,FAVORIT - PREMIUM PRESERVES APRICOT JAM
180286000144,"FAVORIT - PREMIUM PRESERVES APRICOT JAM, APRICOT"
180286000168,FAVORIT - SWISS PRESERVES
180286000168,"FAVORIT - SWISS PRESERVES, RED CHERRY"
180286000229,"FAVORIT - SWISS PRESERVES, PEACH MANGO"
180286000502,FAVORIT - ICED TEA
180286000502,"FAVORIT - ICED TEA, LEMON"
180286000519,FAVORIT - ICED TEA
180286000519,"TSR Inc - ICED TEA, PEACH"
180286000519,"FAVORIT - ICED TEA, PEACH"
180286000526,FAVORIT - SWISS PREMIUM ICED TEA
180332000005,180? - NUT & SEED CRUNCH BAR
180332000005,"180 SNACKS - BLUEBERRY POMEGRANATE WHOLE GRAIN BROWN RICE & NUT & SEED CRUNCH BAR, BLUEBERRY POMEGRANATE"
180332000029,"180 Snacks, Inc. - NUTTY RICE BITES WITH BLUEBERRIES"
180332000029,180° - NUTTY RICE BITES WITH BLUEBERRIES
180332000036,"180 Snacks, Inc. - NUTTY RICE BITES"
180332000036,"180 Snacks, Inc. - NUTTY RICE BITES, CRANBERRIES"
180332000036,"180 - NUTTY RICE BITES, CRANBERRIES"
